freq_hz,mean_psd_c0_db,std_psd_c0_db,mean_psd_c1_db,std_psd_c1_db,p_value,-log10_p
17.96875,-8.563069,7.5008473,-8.481115,5.9029903,1.3092640612164077e-09,8.882972753171444
18.75,-8.589587,7.5288796,-8.492408,5.9283085,6.970227029271273e-13,12.156753076141015
19.53125,-8.552645,7.6094217,-8.458031,6.028767,5.620423427119072e-12,11.250230964656176
20.3125,-8.540847,7.638914,-8.457078,6.0805745,1.3431309003370471e-09,8.871881659316594
21.09375,-8.611689,7.6185226,-8.516795,6.061088,5.864302277834717e-12,11.231783651905097
21.875,-8.631618,7.6408124,-8.531476,6.0836515,4.0654990117638554e-13,12.390886140167186
22.65625,-8.608391,7.6923394,-8.517615,6.1384573,6.8551365713118e-11,10.163983888565749
23.4375,-8.572941,7.742305,-8.489605,6.2102866,3.09321280877704e-09,8.509590200107311
24.21875,-8.795764,8.070438,-8.699041,6.6425414,6.538441105859364e-11,10.184525783758934
25.0,-11.491786,8.542714,-11.388158,7.274766,6.945471864329154e-11,10.158298243646602
25.78125,-15.481185,9.649237,-15.392005,8.596624,1.128160974836786e-06,5.947628927395747
26.5625,-20.27908,10.252396,-20.215446,9.286216,0.0010871000225332892,2.9637304952551764
27.34375,-21.478514,10.481907,-21.419447,9.554406,0.0030238212859677676,2.5194438801058774
28.125,-22.53627,10.620485,-22.479149,9.716382,0.004905780196945222,2.309291914220193
28.90625,-23.353558,10.674952,-23.29757,9.781269,0.005674860072081808,2.2460448426232884
29.6875,-23.992731,10.706421,-23.936768,9.822981,0.006467209152564181,2.1892830935394025
30.46875,-24.548002,10.745595,-24.493092,9.870214,0.007600260264761005,2.1191715354015535
31.25,-25.052282,10.781062,-24.997622,9.9118805,0.007969400667532114,2.098574338148519
32.03125,-25.509388,10.808717,-25.45413,9.94519,0.008247737303744482,2.0836651800900894
32.8125,-25.93577,10.839361,-25.880974,9.980156,0.008721965581953822,2.059385631443494
33.59375,-26.321278,10.869093,-26.267126,10.016751,0.009342960430945263,2.0295154904607644
34.375,-26.665457,10.897615,-26.610226,10.049755,0.009874654712661652,2.0054780814237754
35.15625,-27.057203,10.926918,-27.003677,10.083847,0.010709639668351966,1.9702251409962455
35.9375,-27.57652,10.952011,-27.523699,10.117076,0.012035763174320707,1.9195263663870572
36.71875,-28.28863,10.973551,-28.23555,10.146188,0.012560037066115755,1.9010090789439036
37.5,-29.372013,10.992591,-29.31992,10.177986,0.014540527150716234,1.837419848325868
38.28125,-30.94637,11.00005,-30.896147,10.200899,0.01719197881063517,1.7646741327905715
39.0625,-33.038483,10.993488,-32.98846,10.213323,0.018959162196323924,1.7221808580081133
39.84375,-35.87637,10.988518,-35.828327,10.236782,0.02440733059954162,1.6124797162519102
40.625,-39.653603,10.957617,-39.608624,10.239697,0.0358419929798294,1.4456078495657718
41.40625,-44.269608,10.871671,-44.226997,10.190664,0.04412371030466382,1.3553279754455596
42.1875,-50.237896,10.792458,-50.197872,10.159551,0.05381786604205317,1.2690735266490851
42.96875,-58.41248,10.490491,-58.37745,9.9102955,0.08832933377642845,1.053895045214764
43.75,-67.32691,9.8449135,-67.3006,9.313064,0.15601134817427215,0.8068438101697983
44.53125,-77.749344,9.399525,-77.725494,8.938933,0.18797147472474643,0.7259080513191781
45.3125,-81.48846,8.927138,-81.4717,8.47249,0.2831057715647221,0.548051276755842
46.09375,-83.88887,8.915349,-83.87453,8.483151,0.4622909301392465,0.33508462706617287
46.875,-83.704445,9.538627,-83.68352,9.126546,0.28936167978705074,0.538558983095865
47.65625,-83.44414,9.4681425,-83.42693,9.067189,0.33831575958052407,0.4706777712352411
48.4375,-85.194916,9.59926,-85.18309,9.254059,0.5000580249965985,0.300979598716537
49.21875,-81.847885,8.823316,-81.864334,8.707478,0.37681310597134576,0.4238740003800894
50.0,-82.10481,9.2836685,-82.13121,9.1861725,0.17017339081569935,0.7691083474556477
